기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20254,R,전통시장,3130273,남성사계시장(남성시장),914383,418442,495941,137862,135804,144376,139132,132503,224705,182579,171318,117268,131540,195843,115835,125185,126423,129471,129263,133974,140182,129887
20254,R,전통시장,3130272,사당시장,36566,16581,19985,4006,7181,7071,5366,5017,7927,8600,7569,4664,5053,6508,4173,5113,5062,5108,5195,5195,5402,5490
20254,R,전통시장,3130271,남성역골목시장,573119,259257,313862,65398,97043,104896,89235,82245,134303,119408,108082,68813,75883,118278,82655,79757,80034,81672,80975,81913,84622,84148
20254,R,전통시장,3130270,흑석시장,70781,32944,37837,11636,10435,10199,12038,10510,15962,10205,14675,11104,11670,15334,7796,10027,10139,10458,10442,10728,10094,8894
20254,R,전통시장,3130269,강남시장(동작구 강남시장),44584,21098,23488,5855,12944,5220,5180,6290,9097,12064,7633,5386,6007,8317,5174,6321,6157,6248,6203,5983,6817,6853
20254,R,전통시장,3130268,상도전통시장,190497,86754,103743,22609,40573,24427,25039,29471,48379,44432,36577,22231,24510,38040,24708,26204,25955,25917,26685,26434,29691,29611
20254,R,전통시장,3130267,본동인정시장(기능상실),208510,98118,110391,26191,35133,40747,33672,30270,42496,80934,44038,18803,18546,23536,22651,29273,29766,29617,30196,29784,30798,29075
20254,R,전통시장,3130266,만양로상점가,109902,61132,48770,7769,47874,22274,11134,9906,10943,28492,20895,13140,13179,19286,14912,15606,15812,15887,15989,16060,15964,14585
20254,R,전통시장,3130265,노량진중앙시장,203568,113835,89735,12531,95038,41172,19952,16655,18221,43320,38517,27239,28218,40094,26180,28572,29068,29276,29322,29554,30234,27542
20254,R,전통시장,3130264,상도약수골목형상점가,145574,64586,80987,26667,18938,20721,25441,22183,31625,18848,32795,20240,25726,31888,16076,20476,20280,20707,20506,20040,21888,21679
20254,R,전통시장,3130263,신노량진시장(기능상실),12362,5987,6376,954,1831,2277,1622,2060,3618,2937,2397,1445,1597,2323,1663,1714,1715,1718,1709,1699,1846,1963
20254,R,전통시장,3130262,상도도깨비 골목형상점가,150567,71203,79364,17450,24410,27406,23637,22388,35277,44491,30591,15175,15462,23919,20930,21830,20326,21613,21580,20476,22700,22043
20254,R,전통시장,3130261,성대전통시장(성대시장),197157,91075,106082,20329,37271,34991,25790,27676,51100,37980,35647,25030,27776,42229,28494,27830,27560,27794,28090,28329,29214,28341
20254,R,전통시장,3130260,신대방1동골목상권,138860,64977,73883,12387,24585,24917,21478,23242,32251,37288,28646,16803,16202,23082,16840,19331,18919,19182,19125,18771,21036,22496
20254,R,전통시장,3130259,대신시장,35379,17188,18191,4871,4572,5088,5430,5819,9598,7931,7089,4810,4665,6491,4391,5087,5092,4985,5067,5059,5027,5062
20254,R,전통시장,3130258,영진시장A동,36227,16422,19804,7815,4201,5835,6194,4974,7210,9832,7300,4133,4151,6017,4795,5027,4974,5010,5026,5043,5439,5710
20254,R,전통시장,3130257,영등포시장기계공구상가,180023,90837,89185,3195,56177,54772,26104,17421,22354,55609,36385,18709,18925,26322,24074,23956,24102,24723,25383,26019,28390,27450
20254,R,전통시장,3130256,신동시장,125436,60115,65321,25346,13713,18846,19489,19209,28834,34250,24791,13825,14528,21148,16894,17853,17568,17907,17993,17672,18458,17985
