기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20241,A,골목상권,3110001,이북5도청사,CS100001,한식음식점,10,11,0,0,0,0,1
20241,A,골목상권,3110001,이북5도청사,CS100003,일식음식점,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS100008,분식전문점,2,2,0,0,50,1,0
20241,A,골목상권,3110001,이북5도청사,CS100009,호프-간이주점,4,5,20,1,0,0,1
20241,A,골목상권,3110001,이북5도청사,CS100010,커피-음료,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200001,일반교습학원,4,4,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200005,스포츠 강습,2,2,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200008,한의원,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200013,기타법무서비스,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200016,당구장,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200022,복권방,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200028,미용실,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200033,부동산중개업,5,5,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200034,여관,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200037,노래방,2,2,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200038,독서실,1,1,100,1,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS200043,건축물청소,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300002,편의점,0,2,0,0,0,0,2
20241,A,골목상권,3110001,이북5도청사,CS300007,육류판매,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300017,시계및귀금속,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300018,의약품,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300022,화장품,3,3,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300036,조명용품,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300041,예술품,1,1,0,0,0,0,0
20241,A,골목상권,3110001,이북5도청사,CS300043,전자상거래업,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS100001,한식음식점,6,7,0,0,14,1,1
20241,A,골목상권,3110002,독립문역 1번,CS100005,제과점,0,3,0,0,0,0,3
20241,A,골목상권,3110002,독립문역 1번,CS100006,패스트푸드점,0,1,0,0,0,0,1
20241,A,골목상권,3110002,독립문역 1번,CS100007,치킨전문점,2,3,0,0,0,0,1
20241,A,골목상권,3110002,독립문역 1번,CS100009,호프-간이주점,1,1,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,2,4,0,0,0,0,2
20241,A,골목상권,3110002,독립문역 1번,CS200001,일반교습학원,7,7,0,0,0,0,0
20241,A,골목상권,3110002,독립문역 1번,CS200002,외국어학원,1,1,0,0,0,0,0
